group,design,depth,exp_O,vs_gaussian,Nc_before,Nc_after,prob_before,prob_after,prob_gain,sqdb_before,sqdb_after,negvol_before,negvol_after,han_valid,after_source,provenance
B30F_c30_a1p00_b1p00,B30F,5,0.622231651830318,-0.044435348169681005,12,4,0.002826465194903,0.032164468037649004,13.48768727372503,15.532541107868022,11.24622431141903,3.422395965465617,2.786042550442338,True,architecture_rule,output/experiments/B30F_c30_a1p00_b1p00/20260705-164542_p64_i800#5666
B30F_c30_a1p41_b1p41,B30F,5,0.667334472929568,-0.29222552707043103,20,8,0.00039329028624000004,0.009152040446046,17.844465694670358,14.045519609737656,13.887888294976765,1.9503868667542852,1.9818959598841301,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260710-074553_p64_i800#6700
B30F_c30_a1p41_b1p41,B30F,5,0.669316629753267,-0.290243370246732,20,8,0.0004933573384900001,0.00872587753127,14.038401906987133,15.330361980071896,13.887605820145058,1.9002573634799091,2.008812296741791,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260710-061227_p64_i800#6703
B30F_c30_a1p41_b1p41,B30F,5,0.6697655433456381,-0.28979445665436104,20,8,0.000493363670241,0.008725756903387,14.038123041821137,15.330361980071896,13.88672925353786,1.899568943377798,2.00814743175802,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260710-061227_p64_i800#6704
B30F_c30_a1p41_b1p41,B30F,5,0.6709484528752111,-0.28861154712478804,20,8,0.000493380131486,0.008725440307705001,14.037391337983749,15.330352921539895,13.885868350725694,1.8983811934861312,2.009227659842723,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260708-223318_p64_i800#6704
B30F_c30_a1p41_b1p41,B30F,5,0.670948851939227,-0.28861114806077204,20,8,0.000493380131488,0.008725440307664001,14.03739133771937,15.330352921539891,13.885868350829316,1.8983814051102361,2.009227607829958,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260708-223318_p64_i800#6701
B30F_c30_a1p41_b1p41,B30F,4,0.6845574009277451,-0.275002599072255,20,8,0.0007658209858130001,0.009902233255636,13.061768636827942,15.598942331278117,13.879001654040298,1.9527798481900702,1.9705353976585882,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260708-093705_p64_i1500#6700
B30F_c30_a1p41_b1p41,B30F,4,0.68456068639151,-0.274999313608489,20,8,0.0007658209322700001,0.009902233288213,13.06176855193805,15.598942263307277,13.879001648429417,1.952759806767797,1.970517099562024,True,architecture_rule,output/experiments/B30F_c30_a1p41_b1p41/20260708-093705_p64_i1500#6702
B30_c30_a1p00_b1p00,B30,4,0.389323515644858,-0.277343484355141,24,10,1.4801762184353964e-05,0.000251824529135,6.843655795501659,15.968559492121953,13.378056465974218,1.556004348526204,1.877167383433022,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260707-183220_p64_i300#64
B30_c30_a1p00_b1p00,B30,5,0.39159878181553603,-0.27506821818446303,20,8,0.000568227898941,0.008403725260248001,13.443819832196612,15.14423366634125,14.159330918292051,1.775942520321009,1.980449591371563,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260706-063038_p64_i300#64
B30_c30_a1p00_b1p00,B30,5,0.39160391557456803,-0.27506308442543104,20,8,0.000574060727945,0.008374970242368001,13.275412474334097,15.215829132352457,14.158981897691183,1.7790701411336092,1.982742082454398,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260708-011713_p64_i800#6702
B30_c30_a1p00_b1p00,B30,5,0.39223386027862606,-0.274433139721373,20,8,0.000576286639924,0.008396093621394,13.296833037678917,15.22589658321063,14.156815422768382,1.779988311788619,1.982389893995634,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260708-050346_p64_i300#49
B30_c30_a1p00_b1p00,B30,5,0.39341819589381904,-0.27324880410618,20,8,0.000579015330093,0.008438820278598,13.264715953641291,15.22859612688101,14.153996459306846,1.790903031590283,1.980263237646736,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260708-011713_p64_i800#6701
B30_c30_a1p00_b1p00,B30,5,0.396586932340008,-0.27008006765999104,20,8,0.0008437593790140001,0.009290498782906,13.111711282092521,15.934265479841134,13.912751270984138,1.696026677766723,2.004064963607269,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260706-055713_p64_i300#41
B30_c30_a1p00_b1p00,B30,5,0.39791134974325104,-0.268755650256748,20,8,0.0008580514694100001,0.009348238845432,13.11007265669156,15.940230768134693,13.902043415430741,1.699527017683613,2.002572805109624,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260706-055721_p64_i300#41
B30_c30_a1p00_b1p00,B30,5,0.48907676577525905,-0.17759023422474002,11,5,0.00036816981726200005,0.017200062534829003,15.261723244020757,11.233196781898208,12.055103300511062,2.979838856184266,3.7941694545191833,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260706-063038_p64_i300#33
B30_c30_a1p00_b1p00,B30,3,0.554103438612454,-0.112563561387545,12,4,0.0023820478460230003,0.032062943304995005,15.422270977863938,13.853770038013083,11.250048619746787,3.294261828462922,2.795251190576122,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260707-005006_p64_i4000#5665
B30_c30_a1p00_b1p00,B30,4,0.645964161098405,-0.020702838901594002,8,4,0.004957326592957,0.028104567504221002,5.918889416867711,13.861132035691965,11.317094935067423,3.2900310431859,2.995207287057632,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260707-182020_p64_i300#51
B30_c30_a1p00_b1p00,B30,4,0.6469297849491851,-0.019737215050815,8,4,0.0055541265746350005,0.028451089138468003,5.9547160979478075,13.953602833887883,11.332438504528517,3.194995634524331,3.00017982317697,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260707-182012_p64_i300#21
B30_c30_a1p00_b1p00,B30,4,0.646930111518777,-0.019736888481222,8,4,0.005561514437244001,0.028440928109073,5.952202546491075,13.990393095253618,11.33316671937285,3.195005744760491,2.999073353545388,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260707-182020_p64_i300#21
B30_c30_a1p00_b1p00,B30,5,0.6469527216955411,-0.019714278304458002,8,4,0.005580319410199,0.028433475781207,5.948197416385528,14.081333851222665,11.334782215317379,3.193085377374795,2.994884947535567,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260708-043948_p64_i300#49
B30_c30_a1p00_b1p00,B30,5,0.647148247271165,-0.019518752728834,8,4,0.00558616722541,0.028463227473,5.942127944080552,14.064016083853652,11.332200150905763,3.190781780301997,2.992810884331968,True,architecture_rule,output/experiments/B30_c30_a1p00_b1p00/20260708-043957_p64_i300#49
B30_c30_a1p41_b1p41,B30,5,0.502563188289857,-0.45699681171014206,18,6,6.428005127652672e-09,0.0041341352308920006,223664.61641446635,16.112738947196373,12.094429831969872,2.527208758987539,1.7590644750596192,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-143857_p64_i300#64
B30_c30_a1p41_b1p41,B30,5,0.502600739196531,-0.45695926080346805,18,6,8.737532742474434e-09,0.00411310447031,166460.1980630896,16.116871851509547,12.096840519129817,2.525752437496728,1.7558424070550491,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-060955_p64_i300#64
B30_c30_a1p41_b1p41,B30,4,0.5026582838357361,-0.45690171616426306,18,6,9.45359398525069e-09,0.004101199160094,160323.5660315421,16.136624979618517,12.091454288884641,2.526213353919099,1.753255354203568,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-140351_p64_i1500#8005
B30_c30_a1p41_b1p41,B30,3,0.5026582838357361,-0.45690171616426306,18,6,9.45359398525069e-09,0.004101199160094,160323.5660315421,16.136624979618517,12.091454288884641,2.526213353919099,1.753255354203568,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-062153_p64_i300#64
B30_c30_a1p41_b1p41,B30,5,0.5029196909844871,-0.45664030901551206,18,6,9.622920361852661e-09,0.004148697626637,152180.64358789712,16.097612394052916,12.133554659958522,2.520832204585783,1.7591724675432032,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-143844_p64_i300#1
B30_c30_a1p41_b1p41,B30,3,0.5223576457390421,-0.43720235426095705,19,7,4.675630180670998e-08,0.0012511971505410001,13584.658282454442,16.225102135304038,11.896291563752579,2.190718525077489,1.630953378377095,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-202208_p64_i300#64
B30_c30_a1p41_b1p41,B30,3,0.522530547496437,-0.437029452503562,18,6,6.916368743643126e-08,0.003181885370899,22412.187266959918,16.22145875191125,11.90046909092073,2.45753924702845,1.733002308524136,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-202208_p64_i300#41
B30_c30_a1p41_b1p41,B30,4,0.5286555947768881,-0.430904405223112,18,6,1.443282427752752e-06,0.0031333437069790003,1162.2810233943298,16.205705455824607,11.957873687560806,2.409168791367513,1.712978464138951,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-140351_p64_i1500#8006
B30_c30_a1p41_b1p41,B30,3,0.5286555947768881,-0.430904405223112,18,6,1.443282427752752e-06,0.0031333437069790003,1162.2810233943298,16.205705455824607,11.957873687560806,2.409168791367513,1.712978464138951,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-053853_p64_i300#64
B30_c30_a1p41_b1p41,B30,3,0.528892047091401,-0.43066795290859805,18,6,1.3896409705764551e-05,0.0031357458402620003,122.31039193481577,16.192858568519803,11.95792895501645,2.4109254424301643,1.7123079022246972,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-145808_p64_i4000#8005
B30_c30_a1p41_b1p41,B30,5,0.5650625100220631,-0.39449748997793604,15,7,4.183014340641026e-05,0.0031723403038760004,92.50800784456979,15.605100457294567,11.806939390335017,3.307932469041042,2.733740341883292,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-060955_p64_i300#57
B30_c30_a1p41_b1p41,B30,5,0.5650625100220631,-0.39449748997793604,15,7,4.183014340641026e-05,0.0031723403038760004,92.50800784456979,15.605100457294567,11.806939390335017,3.307932469041042,2.733740341883292,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-105757_p64_i800#10210
B30_c30_a1p41_b1p41,B30,5,0.5650626959532761,-0.394497304046723,15,7,4.236363227092076e-05,0.003204136080041,91.00145112671791,15.547467783192829,11.805653596048549,3.308110697041703,2.730038389411356,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-143844_p64_i300#57
B30_c30_a1p41_b1p41,B30,5,0.56580819537877,-0.39375180462122905,15,7,4.3208335571656004e-05,0.0029167606520190004,81.18250543967089,15.336352990536474,11.854037540615401,3.292367019465178,2.783464568805861,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-105757_p64_i800#10213
B30_c30_a1p41_b1p41,B30,5,0.57533967883595,-0.38422032116404903,14,6,0.000203806133261,0.008112473102331,29.015717275119748,16.385844126512414,11.80522422639445,3.455219474814789,2.9914429864796093,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-051548_p64_i300#17
B30_c30_a1p41_b1p41,B30,5,0.5753551498045311,-0.384204850195469,14,6,0.00020430133202000003,0.008139922240660001,28.770664151652237,16.3426105350657,11.821226206004788,3.458088645946673,2.988845246154513,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-051548_p64_i300#25
B30_c30_a1p41_b1p41,B30,4,0.663975509678641,-0.29558449032135803,18,8,4.829641462858229e-05,0.007461322659148,18.891485723667934,14.121483965370636,14.302679949098154,2.285636888813139,2.419540344267467,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-171707_p64_i300#57
B30_c30_a1p41_b1p41,B30,3,0.6640603740544581,-0.295499625945541,18,8,6.429589721077458e-05,0.007470263027044,15.988711909057264,14.24130683226243,14.315378856055434,2.291064369117789,2.417360266462751,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-060025_p64_i300#41
B30_c30_a1p41_b1p41,B30,4,0.6640603740544581,-0.295499625945541,18,8,6.429589721077458e-05,0.007470263027044,15.988711909057264,14.24130683226243,14.315378856055434,2.291064369117789,2.417360266462751,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-140351_p64_i1500#11155
B30_c30_a1p41_b1p41,B30,3,0.693642686085508,-0.265917313914491,16,8,0.00046501539880500003,0.006849374009814,7.397900890751389,15.55651180225324,13.970765023303906,2.7788868601757013,2.610808313171304,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-062904_p64_i300#49
B30_c30_a1p41_b1p41,B30,3,0.6947307789332651,-0.264829221066734,16,8,0.000558809206588,0.006874380299488001,6.245351616906365,15.511125854439607,13.962021535282606,2.779123638192615,2.605419015314965,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-062904_p64_i300#57
B30_c30_a1p41_b1p41,B30,3,0.7070255279175971,-0.25253447208240204,16,8,0.000595622910202,0.007102004571651,6.370725592722834,15.501673004563628,13.971305639975128,2.77370789932961,2.6202702987921853,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-061443_p64_i300#57
B30_c30_a1p41_b1p41,B30,5,0.716335680953429,-0.24322431904657002,10,6,0.0035967842987680004,0.008794471646875001,2.661763674088907,15.136832949159045,13.332518530563236,4.257258111039028,4.262328803577268,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260709-051548_p64_i300#33
B30_c30_a1p41_b1p41,B30,4,0.726798548467214,-0.23276145153278502,6,4,0.007436145293334,0.030624980734532,4.240554242610941,16.284918508624713,11.271119972689357,3.881672679894887,3.547790299254107,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260708-170200_p64_i300#25
B30_c30_a1p41_b1p41,B30,4,0.7268291009646011,-0.232730899035398,6,4,0.007534817831224,0.030655427348714,4.173449359621832,16.177371840547117,11.271292438650864,3.883658100115433,3.5500365304940633,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-040236_p64_i300#25
B30_c30_a1p41_b1p41,B30,4,0.7268943469850191,-0.23266565301498002,6,4,0.007788554681803001,0.030718754859673004,4.000762359402207,15.898745197175616,11.2720601373056,3.886169735300544,3.551110717718424,True,architecture_rule,output/experiments/B30_c30_a1p41_b1p41/20260710-040245_p64_i300#55
B30_c30_a1p41_b1p41,B30,3,0.8500233721798831,-0.10953662782011601,8,4,0.006995962849109001,0.07009458349620401,8.467129472818577,15.556111924720653,12.943055899562163,3.165248759327344,4.501782371481179,True,core_exact,output/experiments/B30_c30_a1p41_b1p41/20260708-023945_p64_i4000#8279
B30_c30_a1p41_b1p41,B30,3,0.9325646205837351,-0.026995379416264002,8,4,0.02548272761821,0.07853044430613701,2.507093128299323,15.585104946584952,13.151553546039734,3.4846314975505592,5.4983841586653135,True,core_exact,output/experiments/B30_c30_a1p41_b1p41/20260708-023945_p64_i4000#6027
B30_c30_a2p73_b1p41,B30,5,0.491359746878164,-0.5979562531218351,17,9,5.653760108488054e-06,0.000352795530615,97.52535312460692,16.67241435418959,13.01320163472148,3.1404475586922542,2.291644593299991,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-014128_p64_i300#64
B30_c30_a2p73_b1p41,B30,5,0.491382189514573,-0.597933810485426,17,9,5.973515802067789e-06,0.00036948121424000004,94.49768816732714,16.691956753569162,12.997917247827633,3.140723446913054,2.291034083280982,True,architecture_rule,output/experiments/B30_c30_a2p73_b1p41/20260706-012550_p64_i300#64
