target,row,Nc,han_Nc,prob,han_prob,han_gain,gbs_sq_db,han_sq_db,han_ok
plus,0,1,1,1.502e-01,4.779e-01,3.182,11.21,4.77,True
plus,1,35,13,9.819e-04,nan,nan,9.2,0.0,False
plus,2,4,2,4.743e-04,1.887e-02,39.78,11.58,6.73,True
plus,3,2,2,3.790e-04,5.829e-02,153.8,12.1,8.16,True
plus,4,35,13,1.589e-05,1.237e-04,7.788,12.57,12.16,True
H,0,10,4,5.535e-02,2.048e-02,0.3701,9.58,11.29,True
H,1,1,1,1.641e-02,2.141e-03,0.1305,9.63,7.64,True
H,2,35,13,9.822e-04,,,10.36,0.0,False
H,3,35,13,1.140e-04,4.176e-05,0.3662,12.0,12.17,True
H,4,35,13,9.013e-06,6.547e-05,7.265,10.73,12.16,True
T,0,2,2,3.385e-01,,,11.92,0.0,False
T,1,2,2,2.652e-01,8.308e-02,0.3133,7.79,8.47,True
T,2,14,6,2.028e-02,9.869e-02,4.865,8.77,12.89,True
T,3,35,13,9.832e-04,1.704e-03,1.733,11.01,12.17,True
T,4,35,13,9.805e-06,6.570e-05,6.701,10.26,12.16,True
