root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output_old/experiments,00B_c30_a1p00_b1p00,20260521-154804_p64_i2500,62,0.633099035936272,-3.7491455686650896,0.00017817814422912433,8,3,4,-0.033567630730394926,0.5358262310226277,0.7836221279367096,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260521-154804_p64_i2500,62,0.633099035936272,-3.7491455686650896,0.00017817814422912433,8,3,4,-0.033567630730394926,0.5358262310226277,0.7836221279367094,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260521-154804_p64_i2500,62,0.633099035936272,-3.7491455686650896,0.00017817814422912433,8,3,4,-0.033567630730394926,0.5358262310226277,0.7836221279367094,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260528-224333_p64_i2500,35,0.6894452564579148,-3.540935584177789,0.0002877825230499954,10,3,4,0.022778589791247805,0.5921724515442705,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260528-224333_p64_i2500,35,0.6894452564579148,-3.540935584177789,0.0002877825230499954,10,3,4,0.022778589791247805,0.5921724515442705,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260529-034221_p64_i2500,1050,0.6894452564579148,-3.540935584177789,0.0002877825230499954,10,3,4,0.022778589791247805,0.5921724515442705,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260529-034221_p64_i2500,1050,0.6894452564579148,-3.540935584177789,0.0002877825230499954,10,3,4,0.022778589791247805,0.5921724515442705,,(1+0j),(1+0j)
output_old/experiments,00B_c30_a1p00_b1p00,20260529-034221_p64_i2500,1050,0.6894452564579148,-3.540935584177789,0.0002877825230499954,10,3,4,0.022778589791247805,0.5921724515442705,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260521-170446_p64_i2500,6,0.7220612760341069,-2.1082733483900347,0.007793394337032725,5,2,3,0.055394609367439895,0.6247884711204625,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260521-170446_p64_i2500,6,0.7220612760341069,-2.1082733483900347,0.007793394337032725,5,2,3,0.055394609367439895,0.6247884711204625,,(1+0j),(1+0j)
output_old/experiments,00B_c30_a1p00_b1p00,20260521-170446_p64_i2500,6,0.7220612760341069,-2.1082733483900347,0.007793394337032725,5,2,3,0.055394609367439895,0.6247884711204625,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260521-031239_p64_i2500,455,0.7230889202399489,-1.2234797832822117,0.05977508697702448,14,1,14,0.0564222535732819,0.6258161153263045,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260521-031239_p64_i2500,456,0.7230889202399489,-1.2234797832822117,0.05977508697702448,14,1,14,0.0564222535732819,0.6258161153263045,,(1+0j),(1+0j)
output_old/experiments,00B_c30_a1p00_b1p00,20260521-031239_p64_i2500,455,0.7230889202399489,-1.2234797832822117,0.05977508697702448,14,1,14,0.0564222535732819,0.6258161153263045,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260521-031239_p64_i2500,455,0.7230889202399489,-1.2234797832822117,0.05977508697702448,14,1,14,0.0564222535732819,0.6258161153263045,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260521-031239_p64_i2500,456,0.7230889202399489,-1.2234797832822117,0.05977508697702448,14,1,14,0.0564222535732819,0.6258161153263045,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260613-072014_p64_i2500,1604,0.7263157694694397,-1.1621857291484838,0.0688357852218107,11,1,11,0.05964910280277269,0.6290429645557953,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260613-072014_p64_i2500,1604,0.7263157694694397,-1.1621857291484838,0.0688357852218107,11,1,11,0.05964910280277269,0.6290429645557953,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260520-205637_p64_i2500,350,0.7265898609525454,-0.606888399266884,0.24723593860410661,6,1,6,0.059923194285878445,0.6293170560389011,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260520-205637_p64_i2500,350,0.7265898609525454,-0.606888399266884,0.24723593860410661,6,1,6,0.059923194285878445,0.6293170560389011,,(1+0j),(1+0j)
experiments,00B_c30_a1p00_b1p00,20260529-005846_p64_i2500,40,0.7278309143698294,0.0,1.0,0,0,0,0.06116424770316242,0.6305581094561851,,(1+0j),(1+0j)
output_oldold/experiments,00B_c30_a1p00_b1p00,20260529-005846_p64_i2500,40,0.7278309143698294,0.0,1.0,0,0,0,0.06116424770316242,0.6305581094561851,,(1+0j),(1+0j)
