root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,800,1.00470413288748,-3.0998023751775086,0.00079468977442794,6,2,3,0.04514424737484424,0.8989946332128533,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,800,1.00470413288748,-3.0998023751775086,0.00079468977442794,6,2,3,0.04514424737484424,0.8989946332128533,,(1.4142+0j),(1+1j)
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,300,1.0117812635638517,-1.0900009303986695,0.08128287748211806,2,1,2,0.05222137805121596,0.9060717638892251,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,300,1.0117812635638517,-1.0900009303986695,0.08128287748211806,2,1,2,0.05222137805121596,0.9060717638892251,,(1.4142+0j),(1+1j)
experiments,B30B_c30_a1p41_b1p41,20260226-012750_p64_i2500,1250,1.018029500257465,-0.0016492933413393602,0.9962095636468089,0,0,0,0.05846961474482937,0.9123200005828385,,(1.4142+0j),(1+1j)
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,1250,1.018029500257465,-0.0016492933413393602,0.9962095636468089,0,0,0,0.05846961474482937,0.9123200005828385,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-012750_p64_i2500,1250,1.018029500257465,-0.0016492933413393602,0.9962095636468089,0,0,0,0.05846961474482937,0.9123200005828385,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,1250,1.018029500257465,-0.0016492933413393602,0.9962095636468089,0,0,0,0.05846961474482937,0.9123200005828385,,(1.4142+0j),(1+1j)
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,751,1.0182829257184567,0.0,1.0,0,0,0,0.058723040205820976,0.9125734260438301,,(1.4142+0j),(1+1j)
experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,753,1.0182829257184567,0.0,1.0,0,0,0,0.058723040205820976,0.9125734260438301,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,751,1.0182829257184567,0.0,1.0,0,0,0,0.058723040205820976,0.9125734260438301,,(1.4142+0j),(1+1j)
output_oldold/experiments,B30B_c30_a1p41_b1p41,20260226-015926_p64_i2500,753,1.0182829257184567,0.0,1.0,0,0,0,0.058723040205820976,0.9125734260438301,,(1.4142+0j),(1+1j)
