root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
output_old/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
output_old/experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-182208_p64_i2500,64,0.7451475009250044,-5.952362848922784,1.1159305088257556e-06,13,5,4,-0.25485249907499563,0.6399931990150632,1.419106950476882,(1+0j),(1+1j)
experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,19,1.108867519339944,-0.013148024280784827,0.9701792364478479,0,0,0,0.10886751933994399,1.0037132174300027,,(1+0j),(1+1j)
output_old/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,19,1.108867519339944,-0.013148024280784827,0.9701792364478479,0,0,0,0.10886751933994399,1.0037132174300027,,(1+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,19,1.108867519339944,-0.013148024280784827,0.9701792364478479,0,0,0,0.10886751933994399,1.0037132174300027,,(1+0j),(1+1j)
experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,18,1.112000714255338,-0.0018414038310002262,0.9957689870513483,0,0,0,0.11200071425533809,1.0068464123453968,,(1+0j),(1+1j)
output_old/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,18,1.112000714255338,-0.0018414038310002262,0.9957689870513483,0,0,0,0.11200071425533809,1.0068464123453968,,(1+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,18,1.112000714255338,-0.0018414038310002262,0.9957689870513483,0,0,0,0.11200071425533809,1.0068464123453968,,(1+0j),(1+1j)
experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,21,1.1325790448304518,0.0,1.0,0,0,0,0.1325790448304518,1.0274247429205106,,(1+0j),(1+1j)
output_old/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,21,1.1325790448304518,0.0,1.0,0,0,0,0.1325790448304518,1.0274247429205106,,(1+0j),(1+1j)
output_oldold/experiments,B30_c30_a1p00_b1p41,20260221-175753_p64_i2500,21,1.1325790448304518,0.0,1.0,0,0,0,0.1325790448304518,1.0274247429205106,,(1+0j),(1+1j)
