best_des,best_exp,best_idx,best_logp,cycle,depth,genotype,logp_below_-40,logp_positive,n_cells,n_obj,n_subG,n_subG_zero_dng,n_subG_zero_photon,n_valid,phase,run,sub_dng_med,sub_dng_min,sub_phot_med,sub_phot_min,sub_pnr_max,target
"[4.0, 4.999955018643928, 15.99978374647269, 4.03156563799131]",0.43401972550044654,10213,-4.759115399898693,c0,d3,B30F,0,0,20250,2,40,0,0,6955,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260710-083850_p64_i4000,4.014214173017596,3.219737050166347,13.999845041663633,9.99970562279944,9.999926093656459,a0p00_b1p00
"[3.0, 7.999934148684463, 17.99967859393092, 4.115361006216665]",0.4202902482142451,8456,-4.041922602212054,c0,d3,B30F,0,0,20250,2,73,0,0,6774,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260710-112456_p64_i4000,4.11710248775838,3.485706506538752,15.999756919846785,9.99981657683788,9.999921315520766,a0p00_b1p00
"[3.0, 7.999934147980847, 17.999678587185297, 4.115692689034191]",0.4202556114953607,8456,-4.041921299672552,c0,d3,B30F,0,0,20250,2,75,0,0,6608,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260710-140156_p64_i4000,4.1322286243149104,3.731169707193935,15.999686322869472,11.999750769687598,9.999910767046787,a0p00_b1p00
"[3.0, 7.999934147980847, 17.999678587185297, 4.115692689034191]",0.4202556114953607,8455,-4.041921299672552,c0,d4,B30F,0,0,38250,2,49,0,0,5555,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260710-222142_p64_i1500,4.117892368529926,3.4038546219502432,15.999694798155467,13.99968316629591,9.999920279873686,a0p00_b1p00
"[2.0, 9.999917505676814, 17.99984596459469, 4.146195752019834]",0.4150631150414952,6657,-3.105915728530137,c0,d4,B30F,0,0,38250,2,68,0,0,5510,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260710-235558_p64_i1500,4.1291382782681865,3.4210590641838916,15.999862340883169,11.99960575052723,9.999928322628778,a0p00_b1p00
"[2.0, 9.999917505676848, 17.99984596459476, 4.146195747897213]",0.41506311480361857,6655,-3.1059157285301278,c0,d4,B30F,0,0,38250,2,43,0,0,5754,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260711-012132_p64_i1500,4.170703428270709,3.7287981073991077,16.999822008498732,13.99984683126139,9.999917505676848,a0p00_b1p00
"[2.0, 9.999917505676848, 17.99984596459476, 4.146195747897213]",0.41506311480361874,6655,-3.1059157285301278,c0,d5,B30F,0,0,74250,2,76,0,0,4740,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260711-065000_p64_i800,4.174770006648551,3.7260285588373776,15.999865553330359,11.999836429847678,9.999919434546241,a0p00_b1p00
"[4.0, 9.999869334557978, 17.999753415979896, 4.154983707706753]",0.41250161283634273,11157,-4.811400934793687,c0,d5,B30F,0,0,74250,2,64,0,0,4649,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260711-083717_p64_i800,4.175358859529794,3.7892951242915434,15.999867224683745,13.99981610241359,9.9999447309619,a0p00_b1p00
"[4.0, 9.999869334407846, 21.998161987295617, 4.1549940251422175]",0.41250059586038346,11246,-5.0608926472554545,c0,d5,B30F,0,0,74250,2,51,0,0,4561,A_b30f,output/experiments/B30F_c30_a0p00_b1p00/20260711-101027_p64_i800,4.1547705407110875,3.4743794924874356,17.999753415682164,8.999810540051039,9.999943762240093,a0p00_b1p00
"[1.0, 6.990198865677151, 6.990198865677151, 1.4176681339134634]",0.7196772865276411,3771,-1.1060886477386558,c0,d3,B30F,0,0,20250,2,0,,,6649,A_b30f,output/experiments/B30F_c30_a1p00_b1p00/20260702-203252_p64_i4000,,,,,,a1p00_b1p00
