root,group,run,cell_idx,exp_hi,logP,prob,total_photons,fired_modes,max_pnr,vs_gaussian,vs_gs,wigner_negvol,target_alpha,target_beta
output/experiments,B30_c30_a1p41_b1p41,20260710-143857_p64_i300,64,0.5025631882898577,-7.733212605802163,1.8483635441162087e-08,17.99903720119216,,5.9998232827660445,-0.4569968117101423,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-060955_p64_i300,64,0.5026007391965313,-7.607140666583024,2.470923691170757e-08,17.99903058675345,,5.999820498776209,-0.4569592608034687,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-140351_p64_i1500,8005,0.5026582838357369,-7.592086504422893,2.558076308811336e-08,17.999074564639525,,5.999824909080161,-0.4569017161642631,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-062153_p64_i300,64,0.5026582838357369,-7.592086504422893,2.558076308811336e-08,17.999074564639525,,5.999824909080161,-0.4569017161642631,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-143844_p64_i300,1,0.5029196909844871,-7.564447633548909,2.7261664353793206e-08,17.99895607726027,,5.999806059798305,-0.4566403090155129,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-202208_p64_i300,64,0.5223576457390424,-7.035722971697659,9.210368965685473e-08,18.9825008990693,,5.999917481123969,-0.43720235426095755,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-202208_p64_i300,41,0.5225305474964378,-6.84779971269119,1.419712111539742e-07,17.99948069112516,,5.99991429101944,-0.4370294525035622,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-140351_p64_i1500,8006,0.528655594776888,-5.569303110406421,2.695857235824945e-06,17.999306901360306,,5.999868802224535,-0.430904405223112,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260708-053853_p64_i300,64,0.528655594776888,-5.569303110406421,2.695857235824945e-06,17.999306901360306,,5.999868802224535,-0.430904405223112,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-145808_p64_i4000,8005,0.5288920470914018,-4.5911225030121114,2.5637607652616052e-05,17.99930689966419,,5.999868802221589,-0.43066795290859816,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-060955_p64_i300,57,0.5650625100220635,-4.464799559683765,3.4292602097827924e-05,14.999628252579457,,5.999890042077641,-0.39449748997793643,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-105757_p64_i800,10210,0.5650625100220635,-4.464799559683765,3.4292602097827924e-05,14.999628252579457,,5.999890042077641,-0.39449748997793643,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-143844_p64_i300,57,0.5650626959532766,-4.453337365377744,3.520972512382597e-05,14.999614442108284,,5.999886824678642,-0.39449730404672334,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260710-105757_p64_i800,10213,0.5658081953787703,-4.444561657718259,3.5928438476030846e-05,14.999584865783607,,5.999882980987628,-0.3937518046212297,,,1.4142135623730951,(1+1j)
output/experiments,B30_c30_a1p41_b1p41,20260709-051548_p64_i300,17,0.5753396788359506,-3.5534800410247662,0.00027958892159768043,13.999812274208294,,5.99991522107327,-0.38422032116404936,,,1.4142135623730951,(1+1j)
