key,run,cell,exp_stored,logp_stored,target,genotype,depth,phase,cycle,des,exp_hi,drift,tail,logP,n_eff,max_eff,n_active,vs_gaussian,vs_gn,verdict
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-235238_p64_i300|64|0.4319852,output/experiments/B30_c30_a1p00_b1p00/20260703-235238_p64_i300,64,0.4319852473919382,-4.9753673569716,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998683649223908, 15.995626351689172, 4.139354546405324]",0.4231493810957526,-0.008835866296185602,5.366682399027565e-13,-4.9753673569688,15.995626351689172,9.998683649223908,3.0,-0.2435176189042474,-0.2876326189042474,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300|64|0.4320234,output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300,64,0.43202337772414534,-4.790582696509332,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998783362606499, 15.995502196948891, 4.1375022991091726]",0.42310619080559886,-0.008917186918546482,5.560368921942605e-13,-4.79058269648327,15.995502196948891,9.998783362606499,3.0,-0.24356080919440115,-0.28767580919440117,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-234050_p64_i300|64|0.4320625,output/experiments/B30_c30_a1p00_b1p00/20260703-234050_p64_i300,64,0.4320625145116888,-4.78486358866623,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998787428504249, 15.995121245800792, 4.140819983544281]",0.4230573606682907,-0.009005153843398117,5.53513252640615e-13,-4.78486358863618,15.995121245800792,9.998787428504249,3.0,-0.24360963933170932,-0.28772463933170933,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-233516_p64_i300|64|0.4320863,output/experiments/B30_c30_a1p00_b1p00/20260703-233516_p64_i300,64,0.4320863378551486,-4.62065190022589,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998882400201888, 15.995640610052861, 4.138613928273941]",0.4231848128275536,-0.008901525027595003,6.018528365146707e-13,-4.620651899977192,15.995640610052861,9.998882400201888,3.0,-0.2434821871724464,-0.2875971871724464,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300|7|0.4321066,output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300,7,0.4321066356444171,-4.790477577775908,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998783238052656, 15.995503903968391, 4.136291209456429]",0.42315716236089007,-0.00894947328352702,5.434339381179977e-13,-4.790477577749214,15.995503903968391,9.998783238052656,3.0,-0.24350983763910994,-0.28762483763910995,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300|21|0.4321736,output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300,21,0.43217357869693235,-4.82955078053218,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.99877082179405, 15.99527412709189, 4.146901600495738]",0.4230810177909325,-0.009092560905999858,5.983101886268296e-13,-4.829550780518802,15.99527412709189,9.99877082179405,3.0,-0.24358598220906752,-0.28770098220906754,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300|63|0.4322199,output/experiments/B30_c30_a1p00_b1p00/20260703-234705_p64_i300,63,0.432219942487463,-4.735862678410174,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998823513320135, 15.990214692766786, 4.1375988378942505]",0.4232873198192807,-0.008932622668182288,6.335786027883797e-13,-4.7358626782433015,15.990214692766786,9.998823513320135,3.0,-0.24337968018071932,-0.28749468018071933,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300|7|0.4323633,output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300,7,0.4323632832125111,-5.069601777677434,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998630212031552, 15.995302484971974, 4.13225797400025]",0.4237721055379239,-0.008591177674587225,5.218495636202266e-13,-5.069601777676288,15.995302484971974,9.998630212031552,3.0,-0.24289489446207613,-0.28700989446207614,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-233516_p64_i300|57|0.4323772,output/experiments/B30_c30_a1p00_b1p00/20260703-233516_p64_i300,57,0.4323771835747989,-4.622438316545675,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.99888019119778, 15.995640248489698, 4.134693272190713]",0.4234534042229375,-0.008923779351861394,5.700877552280144e-13,-4.622438316286518,15.995640248489698,9.99888019119778,3.0,-0.24321359577706253,-0.28732859577706255,valid
a1p00_b1p00|output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300|63|0.4324842,output/experiments/B30_c30_a1p00_b1p00/20260703-235815_p64_i300,63,0.43248417544988926,-4.843884996946688,a1p00_b1p00,B30,3,C,c0,"[3.0, 9.998763051950164, 15.995695228571883, 4.147258533907939]",0.42358832537206625,-0.008895850077823009,6.267458484757531e-13,-4.843884996937033,15.995695228571883,9.998763051950164,3.0,-0.24307867462793376,-0.28719367462793377,valid
